user_text,error_type,component_label,source,text
PC slow after few minutes,Slow Performance,Slow Performance,real_world,pc slow after few minutes
PC slow after install,Slow Performance,Slow Performance,real_world_solutions,pc slow after install
PC slow after software install,Slow Performance,Slow Performance,real_world,pc slow after software install
PC slow after update,Slow Performance,Slow Performance,real_world,pc slow after update
PC slow app launch,Slow Performance,Slow Performance,real_world_solutions,pc slow app launch
PC slow browsing,Slow Performance,Slow Performance,real_world_solutions,pc slow browsing
PC slow copy files,Slow Performance,Slow Performance,real_world_solutions,pc slow copy files
PC slow extract files,Slow Performance,Slow Performance,real_world_solutions,pc slow extract files
PC slow file explorer,Slow Performance,Slow Performance,real_world_solutions,pc slow file explorer
PC slow file open,Slow Performance,Slow Performance,real_world_solutions,pc slow file open
PC slow idle,Slow Performance,Slow Performance,real_world_solutions,pc slow idle
PC slow install apps,Slow Performance,Slow Performance,real_world_solutions,pc slow install apps
PC slow internet apps,Slow Performance,Slow Performance,real_world_solutions,pc slow internet apps
PC slow login,Slow Performance,Slow Performance,real_world_solutions,pc slow login
PC slow network apps,Slow Performance,Slow Performance,real_world_solutions,pc slow network apps
PC slow opening files,Slow Performance,Slow Performance,comprehensive_test,pc slow opening files
PC slow performance,Slow Performance,Slow Performance,real_world,pc slow performance
PC slow refresh,Slow Performance,Slow Performance,real_world_solutions,pc slow refresh
PC slow refresh rate,Slow Performance,Slow Performance,real_world_solutions,pc slow refresh rate
PC slow response,Slow Performance,Slow Performance,real_world_solutions,pc slow response
PC slow search,Slow Performance,Slow Performance,real_world_solutions,pc slow search
PC slow shutdown,Slow Performance,Slow Performance,real_world_solutions,pc slow shutdown
PC slow suddenly,Slow Performance,Slow Performance,real_world,pc slow suddenly
PC slow task manager,Slow Performance,Slow Performance,real_world_solutions,pc slow task manager
PC slow UI,Slow Performance,Slow Performance,real_world_solutions,pc slow ui
PC slow when copy files,Slow Performance,Slow Performance,comprehensive_test,pc slow when copy files
PC slow windows load,Slow Performance,Slow Performance,real_world_solutions,pc slow windows load
PC slow with antivirus,Slow Performance,Slow Performance,real_world,pc slow with antivirus
PC slow with internet,Slow Performance,Slow Performance,real_world,pc slow with internet
PC slow with updates,Slow Performance,Slow Performance,real_world,pc slow with updates
PC start slow,Slow Performance,Slow Performance,real_world_solutions,pc start slow
PC start slow then freeze,Slow Performance,Slow Performance,real_world_solutions,pc start slow then freeze
PC stutter animation,Slow Performance,Slow Performance,real_world_solutions,pc stutter animation
PC stutter browser,Slow Performance,Slow Performance,real_world_solutions,pc stutter browser
PC stutter browser video,Slow Performance,Slow Performance,real_world_solutions,pc stutter browser video
PC stutter idle,Slow Performance,Slow Performance,real_world_solutions,pc stutter idle
PC stutter mouse,Slow Performance,Slow Performance,real_world_solutions,pc stutter mouse
PC stutter random,Slow Performance,Slow Performance,real_world_solutions,pc stutter random
PC stutter randomly,Slow Performance,Slow Performance,real_world,pc stutter randomly
PC stutter scrolling,Slow Performance,Slow Performance,real_world_solutions,pc stutter scrolling
PC stutter typing,Slow Performance,Slow Performance,real_world_solutions,pc stutter typing
PC system slow error,Slow Performance,Slow Performance,real_world,pc system slow error
PC very slow,Slow Performance,Slow Performance,real_world_solutions,pc very slow
PC very unresponsive,Slow Performance,Slow Performance,real_world,pc very unresponsive
System freeze randomly,Slow Performance,Slow Performance,real_world,system freeze randomly
System hang on login,Slow Performance,Slow Performance,real_world,system hang on login
System lag spike,Slow Performance,Slow Performance,real_world,system lag spike
System slow overall,Slow Performance,Slow Performance,real_world,system slow overall
System slow suddenly,Slow Performance,Slow Performance,real_world,system slow suddenly
System slow when open apps,Slow Performance,Slow Performance,real_world,system slow when open apps
System sluggish,Slow Performance,Slow Performance,real_world,system sluggish
System stutter problem,Slow Performance,Slow Performance,real_world,system stutter problem
Windows not responding,Slow Performance,Slow Performance,real_world,windows not responding
Computer refuses to connect to external monitor.,Monitor or GPU Check,,,computer refuses to connect to external monitor.
Laptop screen flickers when opening the lid.,Monitor or GPU Check,,,laptop screen flickers when opening the lid.
Laptop screen has dim brightness and won't increase.,Monitor or GPU Check,,,laptop screen has dim brightness and won't increase.
Monitor has ghosting effect in games.,Monitor or GPU Check,,,monitor has ghosting effect in games.
Monitor randomly switches refresh rate.,Monitor or GPU Check,,,monitor randomly switches refresh rate.
Monitor shows static noise sometimes.,Monitor or GPU Check,,,monitor shows static noise sometimes.
My monitor randomly turns off while the PC runs.,Monitor or GPU Check,,,my monitor randomly turns off while the pc runs.
PC freezes when connecting HDMI cable.,Monitor or GPU Check,,,pc freezes when connecting hdmi cable.
PC screen becomes blurry randomly.,Monitor or GPU Check,,,pc screen becomes blurry randomly.
PC shows random color lines on display.,Monitor or GPU Check,,,pc shows random color lines on display.
Screen keeps flickering when I move the mouse.,Monitor or GPU Check,,,screen keeps flickering when i move the mouse.
Cooling problem PC,CPU Overheat,CPU Overheat,real_world,cooling problem pc
CPU fan error,CPU Overheat,CPU Overheat,real_world,cpu fan error
CPU heat warning,CPU Overheat,CPU Overheat,real_world,cpu heat warning
CPU overheat warning,CPU Overheat,CPU Overheat,real_world,cpu overheat warning
CPU temp high,CPU Overheat,CPU Overheat,real_world,cpu temp high
CPU temp spikes instantly,CPU Overheat,,,cpu temp spikes instantly
CPU throttles at 60C,CPU Overheat,,,cpu throttles at 60c
Fan broken maybe,CPU Overheat,CPU Overheat,real_world,fan broken maybe
Fan dust problem,CPU Overheat,CPU Overheat,real_world,fan dust problem
Fan noisy always,CPU Overheat,CPU Overheat,real_world,fan noisy always
Fan not spinning,CPU Overheat,CPU Overheat,real_world,fan not spinning
Fan speed high,CPU Overheat,CPU Overheat,real_world,fan speed high
Fan very loud,CPU Overheat,CPU Overheat,real_world,fan very loud
Fan vibration noise,CPU Overheat,CPU Overheat,real_world,fan vibration noise
Gaming laptop overheats on performance mode,CPU Overheat,,,gaming laptop overheats on performance mode
GPU reaches 90C while gaming,CPU Overheat,,,gpu reaches 90c while gaming
GPU thermal throttling while gaming,CPU Overheat,,,gpu thermal throttling while gaming
Laptop auto off,CPU Overheat,CPU Overheat,real_world_solutions,laptop auto off
Laptop burn hot,CPU Overheat,CPU Overheat,real_world,laptop burn hot
Laptop fan makes loud noise after 10 minutes of use.,CPU Overheat,,,laptop fan makes loud noise after 10 minutes of use.
Laptop fan never spins even when hot.,CPU Overheat,,,laptop fan never spins even when hot.
Laptop fan not work,CPU Overheat,CPU Overheat,real_world,laptop fan not work
Laptop gets hot even when idle.,CPU Overheat,,,laptop gets hot even when idle.
Laptop heat lag,CPU Overheat,CPU Overheat,real_world,laptop heat lag
Laptop heat problem,CPU Overheat,CPU Overheat,real_world,laptop heat problem
Laptop heat shutdown,CPU Overheat,CPU Overheat,real_world,laptop heat shutdown
Laptop heat too much,CPU Overheat,CPU Overheat,real_world,laptop heat too much
Laptop overheating,CPU Overheat,CPU Overheat,real_world,laptop overheating
Laptop overheats even with cooling pad.,CPU Overheat,,,laptop overheats even with cooling pad.
Laptop start then off,CPU Overheat,CPU Overheat,real_world_solutions,laptop start then off
Laptop thermal issue,CPU Overheat,CPU Overheat,real_world,laptop thermal issue
Liquid cooler pump not detected,CPU Overheat,,,liquid cooler pump not detected
PC air flow bad,CPU Overheat,CPU Overheat,real_world,pc air flow bad
PC auto shutdown,CPU Overheat,CPU Overheat,real_world_solutions,pc auto shutdown
PC cooling fail,CPU Overheat,CPU Overheat,real_world,pc cooling fail
PC cooling issue,CPU Overheat,CPU Overheat,real_world,pc cooling issue
PC extremely loud under small load,CPU Overheat,,,pc extremely loud under small load
PC fan noise,CPU Overheat,CPU Overheat,real_world,pc fan noise
PC fan stop,CPU Overheat,CPU Overheat,real_world,pc fan stop
PC fans spin at 100% for no reason.,CPU Overheat,,,pc fans spin at 100% for no reason.
PC heat summer,CPU Overheat,CPU Overheat,real_world,pc heat summer
PC hot shutdown,CPU Overheat,CPU Overheat,real_world,pc hot shutdown
PC off gaming,CPU Overheat,CPU Overheat,comprehensive_test,pc off gaming
PC off suddenly,CPU Overheat,CPU Overheat,real_world_solutions,pc off suddenly
PC overheats only during video calls.,CPU Overheat,,,pc overheats only during video calls.
"PC shows ""CPU temperature too high"" warning.",CPU Overheat,,,"pc shows ""cpu temperature too high"" warning."
PC shutdown heat,CPU Overheat,CPU Overheat,real_world,pc shutdown heat
PC slow when hot,CPU Overheat,CPU Overheat,real_world,pc slow when hot
PC start fan loud,CPU Overheat,CPU Overheat,real_world_solutions,pc start fan loud
PC temp abnormal,CPU Overheat,CPU Overheat,real_world,pc temp abnormal
PC temp spike,CPU Overheat,CPU Overheat,real_world,pc temp spike
PC very hot,CPU Overheat,CPU Overheat,real_world,pc very hot
PC warm idle,CPU Overheat,CPU Overheat,real_world,pc warm idle
System hot slow,CPU Overheat,CPU Overheat,real_world,system hot slow
System overheat error,CPU Overheat,CPU Overheat,real_world,system overheat error
System overheating,CPU Overheat,CPU Overheat,real_world,system overheating
System temp alert,CPU Overheat,CPU Overheat,real_world,system temp alert
System thermal issue,CPU Overheat,CPU Overheat,real_world,system thermal issue
Temperature high always,CPU Overheat,CPU Overheat,real_world,temperature high always
The fan speed increases suddenly without load.,CPU Overheat,,,the fan speed increases suddenly without load.
Thermal throttling in games,CPU Overheat,,,thermal throttling in games
Display color wrong,No Display / No Signal,No Display / No Signal,comprehensive_test,display color wrong
Display error startup,No Display / No Signal,No Display / No Signal,comprehensive_test,display error startup
Display flickering,No Display / No Signal,No Display / No Signal,comprehensive_test,display flickering
Display freeze,No Display / No Signal,No Display / No Signal,comprehensive_test,display freeze
Display scaling issue,No Display / No Signal,No Display / No Signal,comprehensive_test,display scaling issue
Fan spin no display,No Display / No Signal,No Display / No Signal,real_world_solutions,fan spin no display
GPU crash gaming,No Display / No Signal,No Display / No Signal,comprehensive_test,gpu crash gaming
GPU not working,No Display / No Signal,No Display / No Signal,comprehensive_test,gpu not working
Graphics card not detect,No Display / No Signal,No Display / No Signal,comprehensive_test,graphics card not detect
Graphics driver fail,No Display / No Signal,No Display / No Signal,comprehensive_test,graphics driver fail
Graphics lag windows,No Display / No Signal,No Display / No Signal,comprehensive_test,graphics lag windows
Graphics stutter,No Display / No Signal,No Display / No Signal,comprehensive_test,graphics stutter
Laptop flicker screen,No Display / No Signal,No Display / No Signal,comprehensive_test,laptop flicker screen
Laptop graphics slow,No Display / No Signal,No Display / No Signal,comprehensive_test,laptop graphics slow
Laptop no display but on,No Display / No Signal,No Display / No Signal,real_world_solutions,laptop no display but on
Laptop screen black,No Display / No Signal,No Display / No Signal,real_world,laptop screen black
Laptop screen glitch,No Display / No Signal,No Display / No Signal,comprehensive_test,laptop screen glitch
Monitor display issue,No Display / No Signal,No Display / No Signal,comprehensive_test,monitor display issue
Monitor no picture,No Display / No Signal,No Display / No Signal,real_world,monitor no picture
Monitor no signal,No Display / No Signal,No Display / No Signal,real_world,monitor no signal
Monitor not detected,No Display / No Signal,No Display / No Signal,real_world,monitor not detected
"Monitor shows ""no signal"" even though the PC is running.",No Display / No Signal,,,"monitor shows ""no signal"" even though the pc is running."
no signal on monitor but pc is on,No Display / No Signal,,,no signal on monitor but pc is on
Nothing show on monitor,No Display / No Signal,No Display / No Signal,real_world,nothing show on monitor
PC black screen boot,No Display / No Signal,No Display / No Signal,real_world,pc black screen boot
PC crash open game,No Display / No Signal,No Display / No Signal,comprehensive_test,pc crash open game
PC display cut,No Display / No Signal,No Display / No Signal,comprehensive_test,pc display cut
PC display glitch,No Display / No Signal,No Display / No Signal,comprehensive_test,pc display glitch
PC fan spin but no display,No Display / No Signal,No Display / No Signal,real_world,pc fan spin but no display
PC no display after GPU,No Display / No Signal,No Display / No Signal,real_world_solutions,pc no display after gpu
PC no display HDMI,No Display / No Signal,No Display / No Signal,real_world,pc no display hdmi
PC no display VGA,No Display / No Signal,No Display / No Signal,real_world,pc no display vga
PC no signal display,No Display / No Signal,No Display / No Signal,real_world,pc no signal display
PC on blank screen,No Display / No Signal,No Display / No Signal,real_world_solutions,pc on blank screen
PC on then blank,No Display / No Signal,No Display / No Signal,real_world,pc on then blank
PC restart gaming,No Display / No Signal,No Display / No Signal,comprehensive_test,pc restart gaming
Screen artifacts,No Display / No Signal,No Display / No Signal,comprehensive_test,screen artifacts
Screen black PC on,No Display / No Signal,No Display / No Signal,real_world,screen black pc on
Screen blurry,No Display / No Signal,No Display / No Signal,comprehensive_test,screen blurry
Screen flash issue,No Display / No Signal,No Display / No Signal,comprehensive_test,screen flash issue
Screen not full,No Display / No Signal,No Display / No Signal,comprehensive_test,screen not full
Screen resolution reset,No Display / No Signal,No Display / No Signal,comprehensive_test,screen resolution reset
Screen resolution wrong,No Display / No Signal,No Display / No Signal,comprehensive_test,screen resolution wrong
Screen white suddenly,No Display / No Signal,No Display / No Signal,comprehensive_test,screen white suddenly
Display driver error,Driver Issue,Driver Issue,real_world,display driver error
Display driver stop,Driver Issue,Driver Issue,real_world,display driver stop
Display refresh issue,Driver Issue,Driver Issue,real_world,display refresh issue
Driver problem error,Driver Issue,Driver Issue,real_world,driver problem error
GPU driver missing,Driver Issue,Driver Issue,real_world,gpu driver missing
Graphics error windows,Driver Issue,Driver Issue,real_world,graphics error windows
PC restart on login,Driver Issue,Driver Issue,real_world_solutions,pc restart on login
Ethernet cable issue,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,ethernet cable issue
Ethernet cable not detect,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,ethernet cable not detect
Ethernet connected no net,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,ethernet connected no net
Ethernet not recognized,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,ethernet not recognized
Ethernet not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,ethernet not working
Ethernet slow speed,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,ethernet slow speed
Internet disconnects when downloading files.,Wi-Fi Adapter Upgrade,,,internet disconnects when downloading files.
Internet drop randomly,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,internet drop randomly
Internet error only PC,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,internet error only pc
Internet error windows,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,internet error windows
Internet not responding,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,internet not responding
Internet page not load,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,internet page not load
Internet slow only PC,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,internet slow only pc
Internet stop suddenly,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,internet stop suddenly
Internet timeout error,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,internet timeout error
Internet unstable PC,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,internet unstable pc
Internet work phone not PC,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,internet work phone not pc
Laptop internet fail,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,laptop internet fail
Laptop network issue,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,laptop network issue
Laptop no WiFi,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,laptop no wifi
Laptop slow network,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,laptop slow network
Laptop WiFi missing,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,laptop wifi missing
Network adapter error,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,network adapter error
Network adapter missing,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,network adapter missing
Network disconnected message,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,network disconnected message
Network driver missing,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,comprehensive_test,network driver missing
Network driver problem,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,comprehensive_test,network driver problem
Network error message,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,network error message
Network fail startup,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,network fail startup
Network icon missing,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,network icon missing
Network not available,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,network not available
Network not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,network not working
Network problem after update,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,comprehensive_test,network problem after update
Network problem only PC,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,network problem only pc
Network problem windows,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,network problem windows
Network reset issue,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,network reset issue
No internet on PC,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,no internet on pc
PC can't browse internet,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc can't browse internet
PC can't connect router,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc can't connect router
PC can't connect WiFi,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc can't connect wifi
PC DNS error,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc dns error
PC internet crash,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc internet crash
PC internet drop,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc internet drop
PC internet limited,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc internet limited
PC internet unstable,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc internet unstable
PC net error,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc net error
PC no internet access,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc no internet access
PC no IP address,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc no ip address
PC no network access,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc no network access
PC not detect WiFi,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc not detect wifi
PC offline always,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc offline always
PC slow internet,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,pc slow internet
Slow internet only when streaming videos.,Wi-Fi Adapter Upgrade,,,slow internet only when streaming videos.
The internet speed is extremely slow only on this PC.,Wi-Fi Adapter Upgrade,,,the internet speed is extremely slow only on this pc.
The PC does not detect the Wi-Fi adapter.,Wi-Fi Adapter Upgrade,,,the pc does not detect the wi-fi adapter.
The Wi-Fi disconnects only on my desktop.,Wi-Fi Adapter Upgrade,,,the wi-fi disconnects only on my desktop.
Wi-Fi shows limited connectivity on this PC only.,Wi-Fi Adapter Upgrade,,,wi-fi shows limited connectivity on this pc only.
WiFi connect disconnect,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,wifi connect disconnect
WiFi connected no internet,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,wifi connected no internet
WiFi disconnect always,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,wifi disconnect always
WiFi error PC,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,wifi error pc
WiFi keeps disconnect,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,wifi keeps disconnect
wifi keeps disconnecting every few minutes,Wi-Fi Adapter Upgrade,,,wifi keeps disconnecting every few minutes
WiFi not found,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,wifi not found
WiFi not turning on,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,wifi not turning on
WiFi signal weak PC,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,wifi signal weak pc
WiFi very slow PC,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,real_world,wifi very slow pc
Games keep crashing after a few minutes.,GPU Overheat,,,games keep crashing after a few minutes.
Games stutter after a few minutes of play.,GPU Overheat,,,games stutter after a few minutes of play.
GPU fan loud,GPU Overheat,GPU Overheat,real_world,gpu fan loud
GPU overheating,GPU Overheat,GPU Overheat,real_world,gpu overheating
Graphics crash error,GPU Overheat,GPU Overheat,real_world,graphics crash error
Low FPS problem,GPU Overheat,GPU Overheat,comprehensive_test,low fps problem
overheating my pc while gaming,GPU Overheat,,,overheating my pc while gaming
PC crash GPU,GPU Overheat,GPU Overheat,real_world,pc crash gpu
PC crash render,GPU Overheat,GPU Overheat,real_world,pc crash render
pc gets very hot when playing games,GPU Overheat,,,pc gets very hot when playing games
PC heat gaming,GPU Overheat,GPU Overheat,real_world,pc heat gaming
PC restart graphics load,GPU Overheat,GPU Overheat,real_world,pc restart graphics load
pc restarts when I play games,GPU Overheat,,,pc restarts when i play games
random shutdowns during gaming,GPU Overheat,,,random shutdowns during gaming
Screen tearing issue,GPU Overheat,GPU Overheat,comprehensive_test,screen tearing issue
The PC overheats whenever I play heavy games.,GPU Overheat,,,the pc overheats whenever i play heavy games.
The screen turns black while gaming.,GPU Overheat,,,the screen turns black while gaming.
Laptop broken system,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world,laptop broken system
Laptop OS broken,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world,laptop os broken
Laptop OS crash,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world,laptop os crash
Laptop OS fail,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world,laptop os fail
Laptop OS issue,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world,laptop os issue
Laptop system broken,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world,laptop system broken
OS error startup,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world,os error startup
OS not working,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world,os not working
PC boot fail error,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world_solutions,pc boot fail error
PC boot only BIOS,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world_solutions,pc boot only bios
PC OS crash,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world,pc os crash
PC start but no OS,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world_solutions,pc start but no os
Windows OS error,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world,windows os error
Laptop screen dim,Monitor Issue,Monitor Issue,real_world,laptop screen dim
Lines on screen,Monitor Issue,Monitor Issue,real_world,lines on screen
Monitor flicker random,Monitor Issue,Monitor Issue,real_world,monitor flicker random
Screen blink issue,Monitor Issue,Monitor Issue,real_world,screen blink issue
Screen color issue,Monitor Issue,Monitor Issue,real_world,screen color issue
Screen ghosting,Monitor Issue,Monitor Issue,real_world,screen ghosting
Screen pixel issue,Monitor Issue,Monitor Issue,real_world,screen pixel issue
Mouse disconnects randomly.,USB / Port Issue,,,mouse disconnects randomly.
My USB ports stop working after a few minutes.,USB / Port Issue,,,my usb ports stop working after a few minutes.
PC lag with USB,USB / Port Issue,USB / Port Issue,real_world,pc lag with usb
The computer does not detect my USB drive.,USB / Port Issue,,,the computer does not detect my usb drive.
usb device not recognized,USB / Port Issue,,,usb device not recognized
USB headphone mic not detected by PC.,USB / Port Issue,,,usb headphone mic not detected by pc.
Windows doesn't recognize my printer.,USB / Port Issue,,,windows doesn't recognize my printer.
Wireless mouse lags randomly.,USB / Port Issue,,,wireless mouse lags randomly.
PC slow after virus,Virus / Malware,Virus / Malware,comprehensive_test,pc slow after virus
